payer_id;recency;frequency;monetary;R_Score;F_Score;M_Score;RFM_segment;Segment_Name
PID_0000c6c2fd01;9;17;1700.0;3;3;2;332;Лояльное ядро
PID_0002726e57aa;41;11;1100.0;2;3;2;232;Засыпающее ядро
PID_000724d8f8a5;53;1;1000.0;1;1;2;112;Ушедшие новички
PID_00085f31f14b;61;2;1000.0;1;1;2;112;Ушедшие новички
PID_000e10eb1f2d;46;7;1400.0;2;2;2;222;Требуют внимания
PID_001091d55c32;9;19;4800.0;3;3;3;333;VIP / Супер-ядро
PID_0011b2d9e5ab;20;3;300.0;2;2;1;221;Требуют внимания
PID_0014cc55835b;80;2;400.0;1;1;1;111;Ушедшие новички
PID_001518b0bca0;22;4;800.0;2;2;2;222;Требуют внимания
PID_00162b7ffdcd;24;1;500.0;2;1;1;211;Остывающие новички
PID_0018a41c15e1;0;10;10000.0;3;3;3;333;VIP / Супер-ядро
PID_00193b6aa729;1;26;26000.0;3;3;3;333;VIP / Супер-ядро
PID_001947c47a39;56;2;400.0;1;1;1;111;Ушедшие новички
PID_001b65887fcf;65;1;200.0;1;1;1;111;Ушедшие новички
PID_001fe207c80f;75;1;300.0;1;1;1;111;Ушедшие новички
PID_0020fbcdd8c3;10;24;6000.0;3;3;3;333;VIP / Супер-ядро
PID_00227d7e2820;2;32;3200.0;3;3;3;333;VIP / Супер-ядро
PID_00233c7cca0e;31;5;1500.0;2;2;2;222;Требуют внимания
PID_002665314337;2;3;900.0;3;2;2;322;Потенциальное ядро
PID_00267f4aaa87;56;4;400.0;1;2;1;121;Ушедшие экономные
PID_002ac756bc9c;83;2;200.0;1;1;1;111;Ушедшие новички
PID_0031eef3ce4b;44;17;1700.0;2;3;2;232;Засыпающее ядро
PID_0035a1905ce4;44;3;1500.0;2;2;2;222;Требуют внимания
PID_003ea212b8fe;6;9;1800.0;3;2;2;322;Потенциальное ядро
PID_0045d17cfd78;0;14;10500.0;3;3;3;333;VIP / Супер-ядро
PID_004b1821097e;26;2;400.0;2;1;1;211;Остывающие новички
PID_0051fd68a1a6;29;4;700.0;2;2;2;222;Требуют внимания
PID_005ab2a8697c;9;15;6000.0;3;3;3;333;VIP / Супер-ядро
PID_006424707d11;40;1;300.0;2;1;1;211;Остывающие новички
PID_006a605e7a37;9;6;1200.0;3;2;2;322;Потенциальное ядро
PID_006ae4d90a3c;32;3;297.0;2;2;1;221;Требуют внимания
PID_006fcc960999;13;17;5100.0;3;3;3;333;VIP / Супер-ядро
PID_007b5a1857d3;32;18;1800.0;2;3;2;232;Засыпающее ядро
PID_007cf4b7be6b;26;5;1500.0;2;2;2;222;Требуют внимания
PID_007d34145d04;50;2;400.0;2;1;1;211;Остывающие новички
PID_0080ff3f5196;32;2;200.0;2;1;1;211;Остывающие новички
PID_0081b202428a;57;2;400.0;1;1;1;111;Ушедшие новички
PID_00824f409641;75;2;400.0;1;1;1;111;Ушедшие новички
PID_00850f1a340c;59;2;1000.0;1;1;2;112;Ушедшие новички
PID_00863aca770a;19;13;13000.0;2;3;3;233;Засыпающие VIP
PID_0086a5adcda4;22;10;2000.0;2;3;2;232;Засыпающее ядро
PID_00875c5c5981;26;2;1000.0;2;1;2;212;Остывающие новички
PID_0088b4d9dcf5;52;1;200.0;1;1;1;111;Ушедшие новички
PID_008b25c80770;35;4;2000.0;2;2;2;222;Требуют внимания
PID_0093736b72ad;25;7;700.0;2;2;2;222;Требуют внимания
PID_009797d63199;21;5;1000.0;2;2;2;222;Требуют внимания
PID_00998c2a55b9;55;6;1200.0;1;2;2;122;Потерянные VIP
PID_00a2045dbdcf;60;1;500.0;1;1;1;111;Ушедшие новички
PID_00a495a0b179;4;16;4800.0;3;3;3;333;VIP / Супер-ядро
PID_00a508074e4d;58;1;200.0;1;1;1;111;Ушедшие новички
PID_00a5d0383b21;19;6;1200.0;2;2;2;222;Требуют внимания
PID_00a709562f72;43;21;4200.0;2;3;3;233;Засыпающие VIP
PID_00a9e8f3625f;44;15;3000.0;2;3;3;233;Засыпающие VIP
PID_00acba4a5b85;58;4;400.0;1;2;1;121;Ушедшие экономные
PID_00ae30cce798;10;9;4500.0;3;2;3;323;Потенциальное ядро
PID_00ae73fba62e;0;18;1800.0;3;3;2;332;Лояльное ядро
PID_00b03b8ef10b;18;4;800.0;2;2;2;222;Требуют внимания
PID_00b24085aac8;2;10;1000.0;3;3;2;332;Лояльное ядро
PID_00bcf727d1fd;58;8;800.0;1;2;2;122;Потерянные VIP
PID_00bd1a954abb;55;4;400.0;1;2;1;121;Ушедшие экономные
PID_00bd6ed1e7bd;19;14;2800.0;2;3;3;233;Засыпающие VIP
PID_00cc4b2fbe30;34;10;1000.0;2;3;2;232;Засыпающее ядро
PID_00d67bfdd1b1;28;1;100.0;2;1;1;211;Остывающие новички
PID_00d7331276c9;12;3;300.0;3;2;1;321;Потенциальное ядро
PID_00d7dc247b5d;15;1;1000.0;3;1;2;312;Перспективные новички
PID_00dc9b44a855;13;6;3000.0;3;2;3;323;Потенциальное ядро
PID_00dce9214f86;65;6;1200.0;1;2;2;122;Потерянные VIP
PID_00e67754df9c;64;1;200.0;1;1;1;111;Ушедшие новички
PID_00e6ad736d34;16;4;400.0;3;2;1;321;Потенциальное ядро
PID_00e88cf361ed;31;11;2200.0;2;3;3;233;Засыпающие VIP
PID_00e9b5f7d861;12;10;2000.0;3;3;2;332;Лояльное ядро
PID_00ea8ff790a5;8;8;1600.0;3;2;2;322;Потенциальное ядро
PID_00eb7c903623;51;5;500.0;2;2;1;221;Требуют внимания
PID_00ee098394e7;0;57;56500.0;3;3;3;333;VIP / Супер-ядро
PID_00f2e5ef75f3;20;10;10000.0;2;3;3;233;Засыпающие VIP
PID_00f3f6dec592;82;2;1000.0;1;1;2;112;Ушедшие новички
PID_00f4666a416f;11;7;3500.0;3;2;3;323;Потенциальное ядро
PID_00f681f25938;62;16;8000.0;1;3;3;133;Потерянные VIP
PID_00fa84304f9c;58;10;2000.0;1;3;2;132;Потерянные VIP
PID_00fdbe475cca;7;13;2600.0;3;3;3;333;VIP / Супер-ядро
PID_0100f2b28e11;22;30;3000.0;2;3;3;233;Засыпающие VIP
PID_0103c666642e;10;1;1000.0;3;1;2;312;Перспективные новички
PID_0103e4435812;37;44;4400.0;2;3;3;233;Засыпающие VIP
PID_0105971b9dc8;50;5;500.0;2;2;1;221;Требуют внимания
PID_0106213aa447;56;1;200.0;1;1;1;111;Ушедшие новички
PID_0107c6711eb4;2;17;8500.0;3;3;3;333;VIP / Супер-ядро
PID_0108af63deda;46;17;6700.0;2;3;3;233;Засыпающие VIP
PID_0108d41f66d2;50;23;4400.0;2;3;3;233;Засыпающие VIP
PID_01097b992ab3;33;1;10.0;2;1;1;211;Остывающие новички
PID_0109da5a5d4f;20;93;42600.0;2;3;3;233;Засыпающие VIP
PID_010aa9598a1d;65;7;1400.0;1;2;2;122;Потерянные VIP
PID_010b4f9ecce5;5;28;14000.0;3;3;3;333;VIP / Супер-ядро
PID_010bb8d56f68;56;3;600.0;1;2;2;122;Потерянные VIP
PID_01106dec285f;1;70;7000.0;3;3;3;333;VIP / Супер-ядро
PID_0110d7d2bbf0;0;87;8700.0;3;3;3;333;VIP / Супер-ядро
PID_0115068c620b;52;8;1300.0;1;2;2;122;Потерянные VIP
PID_0119f54f4034;41;11;1100.0;2;3;2;232;Засыпающее ядро
PID_011a5a0e7f03;33;8;800.0;2;2;2;222;Требуют внимания
PID_011d2984c49e;63;3;600.0;1;2;2;122;Потерянные VIP
PID_012141081f99;25;62;6200.0;2;3;3;233;Засыпающие VIP
PID_0126d082d7a7;12;5;500.0;3;2;1;321;Потенциальное ядро
PID_01281cd37e03;49;18;1800.0;2;3;2;232;Засыпающее ядро
PID_012b41485094;56;19;1900.0;1;3;2;132;Потерянные VIP
PID_012c17ea3e34;29;2;200.0;2;1;1;211;Остывающие новички
