id,name,short_name,year,indicator,numerator,denominator
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2016,108.47,2615.0,2410851.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2017,96.57,2324.0,2406548.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2018,82.09,1971.0,2400979.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2019,74.21,1777.0,2394478.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2020,61.01,1454.0,2383107.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2021,55.0,1303.0,2369234.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2022,59.43,1399.0,2353904.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2023,52.66,1231.0,2337449.0
id_1.1,Показатель первичной заболеваемости туберкулезом всего (на 100 тыс. населения),ПЗ туб тер,2024,47.59,1109.0,2330537.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2016,152.43,1699.0,1114619.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2017,137.99,1535.0,1112389.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2018,117.9,1308.0,1109440.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2019,104.97,1162.0,1106966.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2020,87.38,963.0,1102145.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2021,78.65,859.0,1092153.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2022,86.67,937.0,1081052.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2023,77.76,834.0,1072490.0
id_1.2,Показатель первичной заболеваемости туберкулезом мужского населения (на 100 тыс. населения),ПЗ туб муж,2024,68.48,732.0,1068992.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2016,70.67,916.0,1296232.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2017,60.97,789.0,1294159.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2018,51.33,663.0,1291539.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2019,47.77,615.0,1287513.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2020,38.33,491.0,1280962.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2021,34.77,444.0,1277082.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2022,36.3,462.0,1272852.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2023,31.38,397.0,1264959.0
id_1.3,Показатель первичной заболеваемости туберкулезом женского населения (на 100 тыс. населения),ПЗ туб жен,2024,29.88,377.0,1261545.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2016,20.68,38.0,183794.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2017,23.88,43.0,180095.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2018,14.39,25.0,173758.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2019,9.63,16.0,166162.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2020,5.1,8.0,156989.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2021,5.5,8.0,145400.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2022,6.57,9.0,136960.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2023,3.8,5.0,131475.0
id_1.4,Показатель первичной заболеваемости туберкулезом населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4,2024,5.48,7.0,127771.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2016,24.37,23.0,94369.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2017,24.82,23.0,92675.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2018,17.89,16.0,89448.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2019,9.35,8.0,85593.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2020,6.18,5.0,80884.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2021,5.35,4.0,74826.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2022,5.67,4.0,70490.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2023,4.43,3.0,67706.0
id_1.4.1,Показатель первичной заболеваемости туберкулезом мужского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 муж,2024,3.04,2.0,65725.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2016,16.77,15.0,89425.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2017,22.88,20.0,87420.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2018,10.67,9.0,84310.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2019,9.93,8.0,80570.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2020,3.94,3.0,76105.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2021,5.67,4.0,70574.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2022,7.52,5.0,66470.0
id_1.4.2,Показатель первичной заболеваемости туберкулезом женского населения 0-4 года (на 100 тыс. населения),ПЗ туб 0-4 жен,2023,3.14,2.0,63770.0
